,_id,deleted,endTime,exercise,initialStartTime,metric,removed,rpe,setID,setNumber,startTime,tags,userID,weight,workoutID
11288,189aaf39-2f53-4939-b6a3-9ef42b17223e,0.0,,bench,2018-05-10T22:48:28.166Z,kgs,0.0,< 5.5,189aaf39-2f53-4939-b6a3-9ef42b17223e,6.0,,"['elisa', '5.5 rpe']",5aa35456880e87b3f32ddf7c,40,0ebb7ef9-06c9-4a3f-aee6-45c16d65e3f5
11317,18ac9e47-9866-4eec-8aed-089d8b84f4e7,0.0,,bench,2018-05-16T17:42:58.910Z,kgs,0.0,< 5.5,18ac9e47-9866-4eec-8aed-089d8b84f4e7,21.0,,"['mimi', '5.5 rpe']",5aa35456880e87b3f32ddf7c,35,21b51e5a-6a80-48d8-827b-b2309f4cd405
11636,19626818-3f33-49d8-b6fa-3ac4021156cd,0.0,,bench,2018-05-26T18:55:17.048Z,kgs,0.0,< 5.5,19626818-3f33-49d8-b6fa-3ac4021156cd,4.0,,"['chase', 'rpe 5']",5aa35456880e87b3f32ddf7c,75,a652b098-c05c-4b3f-bb8e-ad5042879f73
11637,196304e0-abff-4df4-aa30-25233e3f0815,0.0,,squat,2018-05-12T16:20:26.639Z,kgs,0.0,8.5,196304e0-abff-4df4-aa30-25233e3f0815,12.0,,['elisa'],5aa35456880e87b3f32ddf7c,83,bafb2bf6-d950-4ac8-a254-42f60e9eebe4
12223,1ab4835f-e1ab-48ca-b153-9e6fb90e5f94,0.0,,squat,2018-05-16T16:19:12.541Z,kgs,0.0,6.5,1ab4835f-e1ab-48ca-b153-9e6fb90e5f94,5.0,,['adam'],5aa35456880e87b3f32ddf7c,77.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
12349,1af4e967-3198-4fe3-a80e-196db6dd4d92,0.0,,bench,2018-05-18T19:23:53.580Z,kgs,0.0,8,1af4e967-3198-4fe3-a80e-196db6dd4d92,11.0,,['adam'],5aa35456880e87b3f32ddf7c,82.5,f9beacc0-676b-49f5-8f0b-e5b397918574
12465,1b3e659a-d255-4c23-964d-8a72c9990478,0.0,,squat,2018-05-19T15:08:21.427Z,kgs,0.0,7.5,1b3e659a-d255-4c23-964d-8a72c9990478,10.0,,['matt'],5aa35456880e87b3f32ddf7c,162.5,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
12863,1c193f1a-ee18-4473-b9d7-20a9631616ae,0.0,,squat,2018-05-10T22:22:31.634Z,kgs,0.0,8,1c193f1a-ee18-4473-b9d7-20a9631616ae,3.0,,['elisa'],5aa35456880e87b3f32ddf7c,90,0ebb7ef9-06c9-4a3f-aee6-45c16d65e3f5
13179,1cca8de4-d242-4c02-9cb6-662a006f333d,0.0,,squat,2018-05-15T22:42:11.113Z,kgs,0.0,6.5,1cca8de4-d242-4c02-9cb6-662a006f333d,12.0,,['elisa'],5aa35456880e87b3f32ddf7c,68,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
13313,1d0a0d02-7fe4-4b81-973b-448f4023ea4c,0.0,,squat,2018-05-24T23:05:16.458Z,kgs,0.0,6,1d0a0d02-7fe4-4b81-973b-448f4023ea4c,3.0,,['mimi '],5aa35456880e87b3f32ddf7c,70,7e166282-3e2e-4b31-b419-8f70734fc65e
13445,1d5cc17c-9c82-4219-9494-96ab194fc542,0.0,,squat,2018-05-24T23:08:15.113Z,kgs,0.0,6,1d5cc17c-9c82-4219-9494-96ab194fc542,4.0,,['matt'],5aa35456880e87b3f32ddf7c,165,7e166282-3e2e-4b31-b419-8f70734fc65e
13934,1e707d2f-e94c-4f04-acdf-3bc5172cf54c,0.0,,bench,2018-05-19T15:10:55.060Z,kgs,0.0,6,1e707d2f-e94c-4f04-acdf-3bc5172cf54c,11.0,,['harr'],5aa35456880e87b3f32ddf7c,62.5,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
14473,1f9416e2-4ef2-413b-839c-71485cec3935,0.0,,squat,2018-05-18T17:49:32.235Z,kgs,0.0,6,1f9416e2-4ef2-413b-839c-71485cec3935,3.0,,['adam'],5aa35456880e87b3f32ddf7c,105,f9beacc0-676b-49f5-8f0b-e5b397918574
14617,1feeedab-1104-42fa-bb1d-8c1e089a2ab2,0.0,,bench,2018-05-15T23:33:40.025Z,kgs,0.0,< 5.5,1feeedab-1104-42fa-bb1d-8c1e089a2ab2,25.0,,"['elisa', '5 rpe']",5aa35456880e87b3f32ddf7c,32.5,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
15145,21258abc-941b-4e9b-a46d-15717e0b7328,0.0,,bench,2018-05-23T00:32:03.017Z,kgs,0.0,7.5,21258abc-941b-4e9b-a46d-15717e0b7328,17.0,,['matt'],5aa35456880e87b3f32ddf7c,105,0e6dd975-b54d-4e4d-ab2f-d240105f4697
15176,213799a5-3daf-4154-a811-22221e994b33,0.0,,bench,2018-05-16T17:33:50.985Z,lbs,0.0,< 5.5,213799a5-3daf-4154-a811-22221e994b33,17.0,,['mimi '],5aa35456880e87b3f32ddf7c,30,21b51e5a-6a80-48d8-827b-b2309f4cd405
15389,21a88d2e-5ab0-4997-b142-6a7ab1589491,0.0,,bench,2018-05-16T17:56:00.499Z,kgs,0.0,10,21a88d2e-5ab0-4997-b142-6a7ab1589491,26.0,,"['mimi ', 'fail', 'technique ']",5aa35456880e87b3f32ddf7c,42.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
15590,2221f5ce-b121-483d-95b2-5e7c20a36189,1.0,,,2018-05-10T00:45:56.464Z,kgs,0.0,,2221f5ce-b121-483d-95b2-5e7c20a36189,5.0,,[],58ace5bd6ca711fcd8cb7b39,,1b9a1147-0192-4db3-ae90-e15fc0cdafbe
16382,23e0251c-11e0-4d7e-b78f-d94d65deef21,0.0,,squat,2018-05-19T15:31:52.848Z,kgs,0.0,9.5,23e0251c-11e0-4d7e-b78f-d94d65deef21,20.0,,['matt'],5aa35456880e87b3f32ddf7c,172.5,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
16385,23e1d710-abe0-43dd-a28d-50bab1f8d721,0.0,,,2018-05-08T22:25:16.361Z,kgs,1.0,,23e1d710-abe0-43dd-a28d-50bab1f8d721,6.0,,[],58ace5bd6ca711fcd8cb7b39,,dc7cace1-274d-487c-ba35-7bc957b7097b
17077,25631c5f-12e7-4bcf-97e7-4e00f68401a7,0.0,,squat,2018-05-24T23:48:37.452Z,kgs,0.0,8,25631c5f-12e7-4bcf-97e7-4e00f68401a7,11.0,,['mimi'],5aa35456880e87b3f32ddf7c,90,7e166282-3e2e-4b31-b419-8f70734fc65e
17172,259837be-e5ea-45ab-bdd1-2f03ed7d83e1,0.0,,bench,2018-05-21T23:26:33.473Z,kgs,0.0,< 5.5,259837be-e5ea-45ab-bdd1-2f03ed7d83e1,6.0,,"['rpe5', 'chase']",5aa35456880e87b3f32ddf7c,70,1ba53e08-ded3-468b-8916-ba110f3ccb76
17989,276a14fb-f982-45fe-9774-fff07b962472,0.0,,squat,2018-05-26T17:29:01.443Z,kgs,0.0,10,276a14fb-f982-45fe-9774-fff07b962472,10.0,,['matt'],5aa35456880e87b3f32ddf7c,120,c4febac1-c026-4828-950a-d5c377810f42
18069,2793fce2-40b2-4b9a-ad86-825cda67f7df,0.0,,bench,2018-05-12T16:15:43.057Z,kgs,0.0,6.5,2793fce2-40b2-4b9a-ad86-825cda67f7df,11.0,,['mimi'],5aa35456880e87b3f32ddf7c,32.5,bafb2bf6-d950-4ac8-a254-42f60e9eebe4
18789,290d36d1-07a8-430e-82ec-67ccc28e93bf,0.0,,bench,2018-05-09T01:25:28.153Z,kgs,0.0,< 5.5,290d36d1-07a8-430e-82ec-67ccc28e93bf,8.0,,"['harr', '4 rpe']",5aa35456880e87b3f32ddf7c,45,b7248c31-b8e1-4d51-9201-536ac8536e73
19040,2990822d-b1d5-4ac9-b74e-446e3eeb420a,0.0,,bench,2018-05-19T15:07:17.264Z,kgs,0.0,< 5.5,2990822d-b1d5-4ac9-b74e-446e3eeb420a,9.0,,"['harr', '5.5 rpe']",5aa35456880e87b3f32ddf7c,60,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
19050,2995b4e7-4675-43ec-9a44-f2990041e7f8,0.0,,squat,2018-05-26T16:02:44.202Z,kgs,0.0,8,2995b4e7-4675-43ec-9a44-f2990041e7f8,3.0,,['matt'],5aa35456880e87b3f32ddf7c,165,c4febac1-c026-4828-950a-d5c377810f42
19291,2a10ce98-7a35-4723-97f1-ea333f5329d0,0.0,,squat,2018-05-23T00:17:27.293Z,kgs,0.0,6.5,2a10ce98-7a35-4723-97f1-ea333f5329d0,12.0,,['mimi'],5aa35456880e87b3f32ddf7c,77.5,0e6dd975-b54d-4e4d-ab2f-d240105f4697
20086,2be06a50-9205-4906-b365-bda04d061e61,0.0,,bench,2018-05-16T01:37:42.153Z,kgs,0.0,7,2be06a50-9205-4906-b365-bda04d061e61,48.0,,['harr'],5aa35456880e87b3f32ddf7c,60,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
20111,2bf03811-f4a1-4f96-9e00-499a5b6cb537,0.0,,bench,2018-05-10T23:04:06.567Z,kgs,0.0,6.5,2bf03811-f4a1-4f96-9e00-499a5b6cb537,7.0,,['elisa'],5aa35456880e87b3f32ddf7c,42,0ebb7ef9-06c9-4a3f-aee6-45c16d65e3f5
21069,2dfa738f-a87a-4a3f-9cbc-f2972449e7ad,0.0,,squat,2018-05-13T19:02:04.567Z,kgs,0.0,9,2dfa738f-a87a-4a3f-9cbc-f2972449e7ad,6.0,,['chase'],5aa35456880e87b3f32ddf7c,135,5fbdf0dd-adc7-4221-9ced-8514e5ee9d04
21146,2e294a00-5fb0-4341-a7d8-932be7e290bb,0.0,,squat,2018-05-16T16:23:48.960Z,kgs,0.0,7.5,2e294a00-5fb0-4341-a7d8-932be7e290bb,7.0,,['adam'],5aa35456880e87b3f32ddf7c,82.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
21332,2e89e2d8-0589-476a-a684-3bfe5d6c5316,0.0,,squat,2018-05-15T23:04:49.633Z,kgs,0.0,,2e89e2d8-0589-476a-a684-3bfe5d6c5316,19.0,,['matt'],5aa35456880e87b3f32ddf7c,152,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
22799,31a9838a-b24e-4c77-b142-a3547fe57d47,0.0,,bench,2018-05-16T01:34:53.522Z,kgs,0.0,6,31a9838a-b24e-4c77-b142-a3547fe57d47,47.0,,['harr'],5aa35456880e87b3f32ddf7c,57.5,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
22991,321199f1-2ab2-435f-9630-bd12467b10c7,0.0,,bench,2018-05-25T00:57:25.651Z,kgs,0.0,7.5,321199f1-2ab2-435f-9630-bd12467b10c7,24.0,,['mimi'],5aa35456880e87b3f32ddf7c,42.5,7e166282-3e2e-4b31-b419-8f70734fc65e
23148,3277a602-73c4-4674-a438-8008590f466b,0.0,,bench,2018-05-18T01:41:07.169Z,kgs,0.0,8,3277a602-73c4-4674-a438-8008590f466b,42.0,,['harr'],5aa35456880e87b3f32ddf7c,75,069415c7-5299-4dd3-a548-e201d5fa7c81
23178,328a85bb-77e8-4325-9e6b-5a90e7e59bad,0.0,,squat,2018-05-17T23:02:12.271Z,kgs,1.0,10,328a85bb-77e8-4325-9e6b-5a90e7e59bad,14.0,,"['elisa', 'failed']",5aa35456880e87b3f32ddf7c,100,069415c7-5299-4dd3-a548-e201d5fa7c81
23748,33c4f7c8-bc9a-4400-96e1-9e216f3c4685,0.0,,squat,2018-05-16T00:37:41.516Z,kgs,0.0,7,33c4f7c8-bc9a-4400-96e1-9e216f3c4685,42.0,,['harr'],5aa35456880e87b3f32ddf7c,100,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
23823,33e56a4f-0b96-4af6-a2af-3f0089b0ab07,0.0,,squat,2018-05-17T22:39:15.222Z,kgs,0.0,< 5.5,33e56a4f-0b96-4af6-a2af-3f0089b0ab07,8.0,,"['matt', '5.5 rpe']",5aa35456880e87b3f32ddf7c,165,069415c7-5299-4dd3-a548-e201d5fa7c81
25004,366c3bef-6e83-464d-a1e6-dd83a9dc1d7c,0.0,,bench,2018-05-16T18:14:07.620Z,kgs,0.0,10,366c3bef-6e83-464d-a1e6-dd83a9dc1d7c,31.0,,"['adam', 'fail']",5aa35456880e87b3f32ddf7c,77.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
25240,36fc01f9-2e6e-491c-bbcf-91fe02abddca,0.0,,bench,2018-05-12T13:33:25.834Z,kgs,0.0,6.5,36fc01f9-2e6e-491c-bbcf-91fe02abddca,9.0,,['harr'],5aa35456880e87b3f32ddf7c,60,ac1ca1f7-552e-4350-a77d-9ee0287d5aa2
